trans_hour,trans_day,trans_month,trans_year,category,upi_number,age,trans_amt,state,fraud_risk
22,19,12,2024,4,9957000522,55,3196.02,5,1
1,16,2,2022,8,9957000738,48,1923.38,6,1
17,14,5,2023,10,9957000741,34,8580.84,14,1
15,19,10,2024,10,9957000661,37,625.11,8,1
3,3,12,2023,9,9957000412,50,3381.34,18,0
16,13,6,2023,12,9957000679,30,9467.13,17,1
1,25,3,2023,13,9957000627,34,7689.69,8,1
3,22,9,2024,14,9957000514,39,9136.69,7,1
0,18,10,2022,4,9957000860,59,7740.86,19,1
6,9,7,2023,7,9957000137,60,2649.38,10,0
20,22,7,2024,7,9957000812,23,1293.16,12,1
21,8,7,2023,11,9957000077,27,4478.53,11,0
15,9,2,2024,4,9957000637,37,4725.49,24,1
9,3,2,2023,13,9957000974,37,2078.41,8,1
2,13,7,2022,14,9957000939,18,580.84,8,1
15,20,2,2024,9,9957000900,18,1831.17,4,1
3,3,10,2024,6,9957000281,61,2081.61,9,0
22,22,12,2024,2,9957000884,54,9151.81,16,1
18,9,6,2023,5,9957000762,22,5104.63,9,1
14,23,11,2023,1,9957000320,45,8914.44,22,0
10,22,1,2024,2,9957000550,26,7427.41,21,1
6,7,1,2022,4,9957000175,55,187.22,18,0
4,6,1,2023,2,9957000372,37,9039.36,19,0
9,13,9,2022,4,9957000528,24,5497.22,19,1
10,16,12,2024,6,9957000211,60,470.48,14,0
3,6,1,2023,2,9957000236,45,7765.29,3,0
16,14,6,2024,4,9957000102,62,8872.55,6,0
2,22,12,2022,3,9957000987,50,4397.5,1,1
0,27,1,2022,8,9957000903,28,6067.75,8,1
14,4,5,2022,6,9957000948,26,6848.81,20,1
6,25,1,2023,9,9957000347,42,4095.98,21,0
20,14,11,2023,12,9957000140,56,8137.35,9,0
8,9,1,2024,8,9957000622,42,846.38,9,1
15,27,4,2023,9,9957000500,27,5650.46,1,0
18,22,6,2024,2,9957000371,44,6656.29,22,0
1,11,7,2022,13,9957000199,33,1131.01,4,0
5,28,4,2022,1,9957000688,25,4282.61,13,1
11,25,4,2023,8,9957000585,18,3239.59,23,1
13,10,2,2024,11,9957000902,20,1254.12,19,1
9,1,1,2023,1,9957000060,55,441.3,24,0
12,23,8,2023,10,9957000329,62,3254.1,10,0
20,24,1,2024,13,9957000097,52,5825.14,19,0
5,16,6,2024,9,9957000313,20,7255.26,12,0
9,24,8,2023,5,9957000975,44,5845.26,11,1
5,22,9,2022,6,9957000300,29,4643.52,18,0
4,23,2,2022,6,9957000278,64,551.9,18,0
